Generation,Best Fitness
1,4.445990566374405
2,3.7607774724998713
3,3.1003505977885126
4,1.8890317576511393
5,1.8890317576511393
6,1.8890317576511393
7,0.9041258377302448
8,0.9041258377302448
9,0.8515173037719599
10,0.8515173037719599
11,0.8515173037719599
12,0.16880014507798435
13,0.16880014507798435
14,0.04978170198829801
15,0.04978170198829801
16,0.04978170198829801
17,0.02924838002346064
18,0.02924838002346064
19,0.02924838002346064
20,0.02924838002346064
21,0.024631378830509476
22,0.024631378830509476
23,0.021442081093624665
24,0.021442081093624665
25,0.021442081093624665
26,0.0057621581831881485
27,0.004191398854384687
28,0.004191398854384687
29,0.004191398854384687
30,0.004191398854384687
31,0.0018054775917022425
32,0.0018054775917022425
33,0.0018054775917022425
34,0.0018054775917022425
35,0.0018054775917022425
36,0.0018054775917022425
37,0.0018054775917022425
38,0.0016544949366696926
39,0.0016544949366696926
40,0.00020142812450885117
41,0.00012102666586955024
42,0.00012102666586955024
43,0.00012102666586955024
44,0.00012102666586955024
45,7.116104978521776e-05
46,2.388410799269991e-05
47,1.273469842999475e-05
48,3.521644316606398e-06
49,3.521644316606398e-06
50,3.521644316606398e-06
51,3.521644316606398e-06
52,1.0517477093685557e-06
53,1.0517477093685557e-06
54,1.0517477093685557e-06
55,1.485312388638249e-07
56,1.485312388638249e-07
57,1.485312388638249e-07
58,1.485312388638249e-07
59,1.485312388638249e-07
60,1.485312388638249e-07
61,1.485312388638249e-07
62,1.485312388638249e-07
63,1.720968612062279e-08
64,1.720968612062279e-08
65,1.5122701313430298e-08
66,1.5122701313430298e-08
67,1.5122701313430298e-08
68,1.0329085142757322e-08
69,1.0329085142757322e-08
70,1.0329085142757322e-08
71,1.0329085142757322e-08
72,1.0329085142757322e-08
73,1.0329085142757322e-08
74,7.411944835666873e-09
75,3.955143768052949e-09
76,3.955143768052949e-09
77,3.955143768052949e-09
78,3.955143768052949e-09
79,3.955143768052949e-09
80,1.3465779602483963e-09
81,2.1021406837462564e-10
82,6.479439207396354e-11
83,6.479439207396354e-11
84,6.479439207396354e-11
85,6.479439207396354e-11
86,5.53050938378874e-11
87,5.53050938378874e-11
88,3.716138508025324e-12
89,3.716138508025324e-12
90,1.8971491044794675e-12
91,1.8971491044794675e-12
92,1.8971491044794675e-12
93,1.8971491044794675e-12
94,1.8971491044794675e-12
95,1.8971491044794675e-12
96,1.8971491044794675e-12
97,1.595168441781425e-12
98,1.595168441781425e-12
99,1.595168441781425e-12
100,1.595168441781425e-12
101,1.595168441781425e-12
102,1.595168441781425e-12
103,1.5560885913146194e-12
104,1.5027978861326119e-12
105,1.5027978861326119e-12
106,1.4992451724538114e-12
107,1.2505552149377763e-12
108,2.0605739337042905e-13
109,2.0605739337042905e-13
110,1.7053025658242404e-13
111,1.7053025658242404e-13
112,1.7053025658242404e-13
113,1.4921397450962104e-13
114,1.4921397450962104e-13
115,1.4921397450962104e-13
116,2.1316282072803006e-14
117,1.7763568394002505e-14
118,1.7763568394002505e-14
119,1.7763568394002505e-14
120,1.7763568394002505e-14
121,1.7763568394002505e-14
122,1.4210854715202004e-14
123,1.4210854715202004e-14
124,1.4210854715202004e-14
125,1.4210854715202004e-14
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
